"","Gene","Value","Rank","Label"
"217","ARMCX3",-0.00539781409209887,217,NA
"218","DHX40",-0.00301927279427133,218,NA
"219","PSMD7",-0.0018014144432568,219,NA
"220","SLC25A13",0,220,NA
"221","HCCS",0,221,NA
"222","WAS",0.000580463275956203,222,NA
"223","DPYSL2",0.00132076625996824,223,NA
"224","SMARCA1",0.00149295010483885,224,NA
"225","RPS10",0.00167014577454835,225,NA
"226","RPLP1",0.00180639055406652,226,NA
"227","RPS6KA6",0.0038325697377696,227,NA
"228","SETD1A",0.00881069161633926,228,NA
"229","CTPS2",0.00915824868143815,229,NA
"230","COQ7",0.0092401308789799,230,NA
"231","ITPR2",0.0120865641006001,231,NA
"232","CNNM4",0.0138303623456446,232,NA
"233","DIAPH2",0.0146822646640575,233,NA
"234","SBDS",0.0166720784288318,234,NA
"235","XIAP",0.0167925455769397,235,NA
"236","PHF6",0.0182572067576275,236,NA
"237","SLC16A2",0.0195249492567728,237,NA
"238","POLR1A",0.0218938958186849,238,NA
"239","FRMD3",0.0226462170925699,239,NA
"240","GNB1",0.0258722961069579,240,NA
"241","MPRIP",0.0271386476954882,241,NA
"242","FAM120C",0.0273359964338234,242,NA
"243","LIMD1",0.0278507839583448,243,NA
"244","HDAC6",0.0304509862817136,244,NA
"245","SRFBP1",0.030634525622589,245,NA
"246","C8orf82",0.0326200096388517,246,NA
"247","SLU7",0.0340025648586912,247,NA
"248","MAOB",0.0352327205818894,248,NA
"249","RBM10",0.0361764552530509,249,NA
"250","BRCC3",0.0368397568881717,250,NA
"251","LDLR",0.0378702914942621,251,NA
"252","SYTL4",0.0383816698603073,252,NA
"253","SH3BGRL",0.0395133720671547,253,NA
"254","VPS8",0.0404674440373484,254,NA
"255","DLG3",0.0443472901100884,255,NA
"256","ATP11C",0.0445850637568695,256,NA
"257","PLEKHM2",0.0466944810683915,257,NA
"258","RTF2",0.0507354070946579,258,NA
"259","PPP2R2B",0.0508379840801043,259,NA
"260","SCP2",0.0521746567865732,260,NA
"261","CSNK1G2",0.0542620633872796,261,NA
"262","PRDX4",0.0570676601075503,262,NA
"263","PTPRS",0.0584520088415387,263,NA
"264","NDP",0.0596925256872632,264,NA
"265","CWC27",0.0608497657352293,265,NA
"266","UXS1",0.0610173124006356,266,NA
"267","SHROOM2",0.061220427682166,267,NA
"268","ADGRG1",0.0618247393162392,268,NA
"269","WDR13",0.0621274278186965,269,NA
"270","FGF1",0.0622336219469326,270,NA
"271","PLS3",0.0671420847962326,271,NA
"272","PGRMC1",0.0695672351390337,272,NA
"273","CABLES1",0.0708615860531605,273,NA
"274","DAPK3",0.0783420409313054,274,NA
"275","APOOL",0.0815318678810545,275,NA
"276","GJB1",0.0821589710545893,276,NA
"277","CUL2",0.0824405091211068,277,NA
"278","CCT5",0.0853596566231191,278,NA
"279","SMS",0.0854459268711973,279,NA
"280","PRMT2",0.0857741766145249,280,NA
"281","GOLPH3L",0.0864348111669767,281,NA
"282","VMA21",0.0883457187426282,282,NA
"283","SMPDL3A",0.08906335604167,283,NA
"284","NLGN3",0.0931217786048136,284,NA
"285","DOCK11",0.093489966936877,285,NA
"286","PSD3",0.0948213132734259,286,NA
"287","SCRN3",0.0969237282975153,287,NA
"288","TMEM160",0.0974469000451146,288,NA
"289","OPHN1",0.0982465526091824,289,NA
"290","GK",0.100250990664901,290,NA
"291","NHSL2",0.103065686196849,291,NA
"292","SLITRK2",0.10757102578276,292,NA
"293","KCTD1",0.108172358634433,293,NA
"294","CETN2",0.108459042416571,294,NA
"295","JAK1",0.110727843293422,295,NA
"296","PARP1",0.111935904624611,296,NA
"297","ASAP1",0.112085686352198,297,NA
"298","MFSD10",0.112789254486181,298,NA
"299","AKR1E2",0.115245844708467,299,NA
"300","TSR2",0.116775343305028,300,NA
"301","IGSF1",0.116987677867491,301,NA
"302","TACC2",0.117037780384425,302,NA
"303","HMGB3",0.117453942803796,303,NA
"304","ACTR10",0.117693887574925,304,NA
"305","APC",0.119090637592054,305,NA
"306","FAM3A",0.119169603413043,306,NA
"307","HSD17B10",0.125819827000977,307,NA
"308","EEF1D",0.127346038803134,308,NA
"309","MBOAT2",0.129060610936979,309,NA
